date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:51:21	49274/49274	---M-Z	200	added ('OK')	text/html	date:Sat,%2029%20Jun%202024%2018:32:58%20GMT	https://html.themeholy.com/webteck/demo/home-cyber-security-op.html	C:/Users/DUGHU/Desktop/siruis/html.themeholy.com/webteck/demo/home-cyber-security-op.html	(from )
05:51:21	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Feb%202025%2010:51:22%20GMT	https://html.themeholy.com/robots.txt		(from )
05:51:21	1800/1800	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-57x57.png	C:/Users/DUGHU/Desktop/siruis/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-57x57.png	(from https://html.themeholy.com/webteck/demo/home-cyber-security-op.html)
05:51:22	1868/1868	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-60x60.png	C:/Users/DUGHU/Desktop/siruis/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-60x60.png	(from https://html.themeholy.com/webteck/demo/home-cyber-security-op.html)
05:51:22	1836/1836	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-72x72.png	C:/Users/DUGHU/Desktop/siruis/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-72x72.png	(from https://html.themeholy.com/webteck/demo/home-cyber-security-op.html)
05:51:23	1895/1895	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-76x76.png	C:/Users/DUGHU/Desktop/siruis/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-76x76.png	(from https://html.themeholy.com/webteck/demo/home-cyber-security-op.html)
05:51:23	2774/2774	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-114x114.png	C:/Users/DUGHU/Desktop/siruis/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-114x114.png	(from https://html.themeholy.com/webteck/demo/home-cyber-security-op.html)
05:51:23	2936/2936	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-120x120.png	C:/Users/DUGHU/Desktop/siruis/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-120x120.png	(from https://html.themeholy.com/webteck/demo/home-cyber-security-op.html)
05:51:23	3585/3585	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-144x144.png	C:/Users/DUGHU/Desktop/siruis/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-144x144.png	(from https://html.themeholy.com/webteck/demo/home-cyber-security-op.html)
05:51:23	3840/3840	---M--	200	added ('OK')	image/png	date:Sat,%2029%20Jun%202024%2018:33:08%20GMT	https://html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-152x152.png	C:/Users/DUGHU/Desktop/siruis/html.themeholy.com/webteck/demo/assets/img/favicons/apple-icon-152x152.png	(from https://html.themeholy.com/webteck/demo/home-cyber-security-op.html)
